Velocidade inicial: 143,2536209718307
Ângulo a ser superado: 63,43494882292201
Tempo para atingir o alvo: 24,028111473550904
Atinge o alvo em movimento: DESCENDENTE


Valores de X e Y em metros em cada instante de tempo:

 Tempo |  X  |  Y  
2,90 | 36,21 | 372,65
 Tempo |  X  |  Y  
3,00 | 37,46 | 384,03
 Tempo |  X  |  Y  
3,10 | 38,70 | 395,31
 Tempo |  X  |  Y  
3,20 | 39,95 | 406,49
 Tempo |  X  |  Y  
3,30 | 41,20 | 417,58
 Tempo |  X  |  Y  
3,40 | 42,45 | 428,56
 Tempo |  X  |  Y  
3,50 | 43,70 | 439,45
 Tempo |  X  |  Y  
3,60 | 44,95 | 450,25
 Tempo |  X  |  Y  
3,70 | 46,20 | 460,94
 Tempo |  X  |  Y  
3,80 | 47,44 | 471,54
 Tempo |  X  |  Y  
3,90 | 48,69 | 482,03
 Tempo |  X  |  Y  
4,00 | 49,94 | 492,43
 Tempo |  X  |  Y  
4,10 | 51,19 | 502,74
 Tempo |  X  |  Y  
4,20 | 52,44 | 512,94
 Tempo |  X  |  Y  
4,30 | 53,69 | 523,05
 Tempo |  X  |  Y  
4,40 | 54,94 | 533,05
 Tempo |  X  |  Y  
4,50 | 56,18 | 542,96
 Tempo |  X  |  Y  
4,60 | 57,43 | 552,78
 Tempo |  X  |  Y  
4,70 | 58,68 | 562,49
 Tempo |  X  |  Y  
4,80 | 59,93 | 572,10
 Tempo |  X  |  Y  
4,90 | 61,18 | 581,62
 Tempo |  X  |  Y  
5,00 | 62,43 | 591,04
 Tempo |  X  |  Y  
5,10 | 63,68 | 600,36
 Tempo |  X  |  Y  
5,20 | 64,92 | 609,59
 Tempo |  X  |  Y  
5,30 | 66,17 | 618,71
 Tempo |  X  |  Y  
5,40 | 67,42 | 627,74
 Tempo |  X  |  Y  
5,50 | 68,67 | 636,67
 Tempo |  X  |  Y  
5,60 | 69,92 | 645,50
 Tempo |  X  |  Y  
5,70 | 71,17 | 654,24
 Tempo |  X  |  Y  
5,80 | 72,42 | 662,87
 Tempo |  X  |  Y  
5,90 | 73,66 | 671,41
 Tempo |  X  |  Y  
6,00 | 74,91 | 679,85
 Tempo |  X  |  Y  
6,10 | 76,16 | 688,19
 Tempo |  X  |  Y  
6,20 | 77,41 | 696,44
 Tempo |  X  |  Y  
6,30 | 78,66 | 704,58
 Tempo |  X  |  Y  
6,40 | 79,91 | 712,63
 Tempo |  X  |  Y  
6,50 | 81,15 | 720,58
 Tempo |  X  |  Y  
6,60 | 82,40 | 728,43
 Tempo |  X  |  Y  
6,70 | 83,65 | 736,19
 Tempo |  X  |  Y  
6,80 | 84,90 | 743,84
 Tempo |  X  |  Y  
6,90 | 86,15 | 751,40
 Tempo |  X  |  Y  
7,00 | 87,40 | 758,86
 Tempo |  X  |  Y  
7,10 | 88,65 | 766,22
 Tempo |  X  |  Y  
7,20 | 89,89 | 773,49
 Tempo |  X  |  Y  
7,30 | 91,14 | 780,65
 Tempo |  X  |  Y  
7,40 | 92,39 | 787,72
 Tempo |  X  |  Y  
7,50 | 93,64 | 794,69
 Tempo |  X  |  Y  
7,60 | 94,89 | 801,56
 Tempo |  X  |  Y  
7,70 | 96,14 | 808,33
 Tempo |  X  |  Y  
7,80 | 97,39 | 815,01
 Tempo |  X  |  Y  
7,90 | 98,63 | 821,59
 Tempo |  X  |  Y  
8,00 | 99,88 | 828,07
 Tempo |  X  |  Y  
8,10 | 101,13 | 834,45
 Tempo |  X  |  Y  
8,20 | 102,38 | 840,73
 Tempo |  X  |  Y  
8,30 | 103,63 | 846,92
 Tempo |  X  |  Y  
8,40 | 104,88 | 853,01
 Tempo |  X  |  Y  
8,50 | 106,13 | 859,00
 Tempo |  X  |  Y  
8,60 | 107,37 | 864,89
 Tempo |  X  |  Y  
8,70 | 108,62 | 870,68
 Tempo |  X  |  Y  
8,80 | 109,87 | 876,38
 Tempo |  X  |  Y  
8,90 | 111,12 | 881,98
 Tempo |  X  |  Y  
9,00 | 112,37 | 887,48
 Tempo |  X  |  Y  
9,10 | 113,62 | 892,88
 Tempo |  X  |  Y  
9,20 | 114,87 | 898,18
 Tempo |  X  |  Y  
9,30 | 116,11 | 903,39
 Tempo |  X  |  Y  
9,40 | 117,36 | 908,50
 Tempo |  X  |  Y  
9,50 | 118,61 | 913,51
 Tempo |  X  |  Y  
9,60 | 119,86 | 918,42
 Tempo |  X  |  Y  
9,70 | 121,11 | 923,23
 Tempo |  X  |  Y  
9,80 | 122,36 | 927,95
 Tempo |  X  |  Y  
9,90 | 123,61 | 932,57
 Tempo |  X  |  Y  
10,00 | 124,85 | 937,08
 Tempo |  X  |  Y  
10,10 | 126,10 | 941,51
 Tempo |  X  |  Y  
10,20 | 127,35 | 945,83
 Tempo |  X  |  Y  
10,30 | 128,60 | 950,06
 Tempo |  X  |  Y  
10,40 | 129,85 | 954,18
 Tempo |  X  |  Y  
10,50 | 131,10 | 958,21
 Tempo |  X  |  Y  
10,60 | 132,34 | 962,15
 Tempo |  X  |  Y  
10,70 | 133,59 | 965,98
 Tempo |  X  |  Y  
10,80 | 134,84 | 969,72
 Tempo |  X  |  Y  
10,90 | 136,09 | 973,35
 Tempo |  X  |  Y  
11,00 | 137,34 | 976,89
 Tempo |  X  |  Y  
11,10 | 138,59 | 980,34
 Tempo |  X  |  Y  
11,20 | 139,84 | 983,68
 Tempo |  X  |  Y  
11,30 | 141,08 | 986,93
 Tempo |  X  |  Y  
11,40 | 142,33 | 990,07
 Tempo |  X  |  Y  
11,50 | 143,58 | 993,12
 Tempo |  X  |  Y  
11,60 | 144,83 | 996,07
 Tempo |  X  |  Y  
11,70 | 146,08 | 998,93
 Tempo |  X  |  Y  
11,80 | 147,33 | 1001,68
 Tempo |  X  |  Y  
11,90 | 148,58 | 1004,34
 Tempo |  X  |  Y  
12,00 | 149,82 | 1006,90
 Tempo |  X  |  Y  
12,10 | 151,07 | 1009,36
 Tempo |  X  |  Y  
12,20 | 152,32 | 1011,73
 Tempo |  X  |  Y  
12,30 | 153,57 | 1013,99
 Tempo |  X  |  Y  
12,40 | 154,82 | 1016,16
 Tempo |  X  |  Y  
12,50 | 156,07 | 1018,23
 Tempo |  X  |  Y  
12,60 | 157,32 | 1020,20
 Tempo |  X  |  Y  
12,70 | 158,56 | 1022,08
 Tempo |  X  |  Y  
12,80 | 159,81 | 1023,85
 Tempo |  X  |  Y  
12,90 | 161,06 | 1025,53
 Tempo |  X  |  Y  
13,00 | 162,31 | 1027,11
 Tempo |  X  |  Y  
13,10 | 163,56 | 1028,59
 Tempo |  X  |  Y  
13,20 | 164,81 | 1029,98
 Tempo |  X  |  Y  
13,30 | 166,06 | 1031,26
 Tempo |  X  |  Y  
13,40 | 167,30 | 1032,45
 Tempo |  X  |  Y  
13,50 | 168,55 | 1033,54
 Tempo |  X  |  Y  
13,60 | 169,80 | 1034,53
 Tempo |  X  |  Y  
13,70 | 171,05 | 1035,43
 Tempo |  X  |  Y  
13,80 | 172,30 | 1036,22
 Tempo |  X  |  Y  
13,90 | 173,55 | 1036,92
 Tempo |  X  |  Y  
14,00 | 174,80 | 1037,52
 Tempo |  X  |  Y  
14,10 | 176,04 | 1038,02
 Tempo |  X  |  Y  
14,20 | 177,29 | 1038,42
 Tempo |  X  |  Y  
14,30 | 178,54 | 1038,73
 Tempo |  X  |  Y  
14,40 | 179,79 | 1038,94
 Tempo |  X  |  Y  
14,50 | 181,04 | 1039,05
 Tempo |  X  |  Y  
14,60 | 182,29 | 1039,06
 Tempo |  X  |  Y  
14,70 | 183,54 | 1038,97
 Tempo |  X  |  Y  
14,80 | 184,78 | 1038,79
 Tempo |  X  |  Y  
14,90 | 186,03 | 1038,51
 Tempo |  X  |  Y  
15,00 | 187,28 | 1038,13
 Tempo |  X  |  Y  
15,10 | 188,53 | 1037,65
 Tempo |  X  |  Y  
15,20 | 189,78 | 1037,07
 Tempo |  X  |  Y  
15,30 | 191,03 | 1036,40
 Tempo |  X  |  Y  
15,40 | 192,27 | 1035,63
 Tempo |  X  |  Y  
15,50 | 193,52 | 1034,76
 Tempo |  X  |  Y  
15,60 | 194,77 | 1033,79
 Tempo |  X  |  Y  
15,70 | 196,02 | 1032,72
 Tempo |  X  |  Y  
15,80 | 197,27 | 1031,56
 Tempo |  X  |  Y  
15,90 | 198,52 | 1030,30
 Tempo |  X  |  Y  
16,00 | 199,77 | 1028,94
 Tempo |  X  |  Y  
16,10 | 201,01 | 1027,48
 Tempo |  X  |  Y  
16,20 | 202,26 | 1025,92
 Tempo |  X  |  Y  
16,30 | 203,51 | 1024,27
 Tempo |  X  |  Y  
16,40 | 204,76 | 1022,52
 Tempo |  X  |  Y  
16,50 | 206,01 | 1020,67
 Tempo |  X  |  Y  
16,60 | 207,26 | 1018,72
 Tempo |  X  |  Y  
16,70 | 208,51 | 1016,67
 Tempo |  X  |  Y  
16,80 | 209,75 | 1014,53
 Tempo |  X  |  Y  
16,90 | 211,00 | 1012,28
 Tempo |  X  |  Y  
17,00 | 212,25 | 1009,94
 Tempo |  X  |  Y  
17,10 | 213,50 | 1007,51
 Tempo |  X  |  Y  
17,20 | 214,75 | 1004,97
 Tempo |  X  |  Y  
17,30 | 216,00 | 1002,34
 Tempo |  X  |  Y  
17,40 | 217,25 | 999,60
 Tempo |  X  |  Y  
17,50 | 218,49 | 996,77
 Tempo |  X  |  Y  
17,60 | 219,74 | 993,85
 Tempo |  X  |  Y  
17,70 | 220,99 | 990,82
 Tempo |  X  |  Y  
17,80 | 222,24 | 987,70
 Tempo |  X  |  Y  
17,90 | 223,49 | 984,47
 Tempo |  X  |  Y  
18,00 | 224,74 | 981,15
 Tempo |  X  |  Y  
18,10 | 225,99 | 977,73
 Tempo |  X  |  Y  
18,20 | 227,23 | 974,22
 Tempo |  X  |  Y  
18,30 | 228,48 | 970,60
 Tempo |  X  |  Y  
18,40 | 229,73 | 966,89
 Tempo |  X  |  Y  
18,50 | 230,98 | 963,08
 Tempo |  X  |  Y  
18,60 | 232,23 | 959,17
 Tempo |  X  |  Y  
18,70 | 233,48 | 955,17
 Tempo |  X  |  Y  
18,80 | 234,73 | 951,06
 Tempo |  X  |  Y  
18,90 | 235,97 | 946,86
 Tempo |  X  |  Y  
19,00 | 237,22 | 942,56
 Tempo |  X  |  Y  
19,10 | 238,47 | 938,16
 Tempo |  X  |  Y  
19,20 | 239,72 | 933,67
 Tempo |  X  |  Y  
19,30 | 240,97 | 929,07
 Tempo |  X  |  Y  
19,40 | 242,22 | 924,38
 Tempo |  X  |  Y  
19,50 | 243,46 | 919,59
 Tempo |  X  |  Y  
19,60 | 244,71 | 914,70
 Tempo |  X  |  Y  
19,70 | 245,96 | 909,72
 Tempo |  X  |  Y  
19,80 | 247,21 | 904,63
 Tempo |  X  |  Y  
19,90 | 248,46 | 899,45
 Tempo |  X  |  Y  
20,00 | 249,71 | 894,17
 Tempo |  X  |  Y  
20,10 | 250,96 | 888,79
 Tempo |  X  |  Y  
20,20 | 252,20 | 883,32
 Tempo |  X  |  Y  
20,30 | 253,45 | 877,74
 Tempo |  X  |  Y  
20,40 | 254,70 | 872,07
 Tempo |  X  |  Y  
20,50 | 255,95 | 866,30
 Tempo |  X  |  Y  
20,60 | 257,20 | 860,43
 Tempo |  X  |  Y  
20,70 | 258,45 | 854,46
 Tempo |  X  |  Y  
20,80 | 259,70 | 848,40
 Tempo |  X  |  Y  
20,90 | 260,94 | 842,24
 Tempo |  X  |  Y  
21,00 | 262,19 | 835,98
 Tempo |  X  |  Y  
21,10 | 263,44 | 829,62
 Tempo |  X  |  Y  
21,20 | 264,69 | 823,16
 Tempo |  X  |  Y  
21,30 | 265,94 | 816,61
 Tempo |  X  |  Y  
21,40 | 267,19 | 809,96
 Tempo |  X  |  Y  
21,50 | 268,44 | 803,21
 Tempo |  X  |  Y  
21,60 | 269,68 | 796,36
 Tempo |  X  |  Y  
21,70 | 270,93 | 789,41
 Tempo |  X  |  Y  
21,80 | 272,18 | 782,37
 Tempo |  X  |  Y  
21,90 | 273,43 | 775,23
 Tempo |  X  |  Y  
22,00 | 274,68 | 767,99
 Tempo |  X  |  Y  
22,10 | 275,93 | 760,65
 Tempo |  X  |  Y  
22,20 | 277,18 | 753,21
 Tempo |  X  |  Y  
22,30 | 278,42 | 745,68
 Tempo |  X  |  Y  
22,40 | 279,67 | 738,05
 Tempo |  X  |  Y  
22,50 | 280,92 | 730,32
 Tempo |  X  |  Y  
22,60 | 282,17 | 722,49
 Tempo |  X  |  Y  
22,70 | 283,42 | 714,56
 Tempo |  X  |  Y  
22,80 | 284,67 | 706,54
 Tempo |  X  |  Y  
22,90 | 285,92 | 698,42
 Tempo |  X  |  Y  
23,00 | 287,16 | 690,20
 Tempo |  X  |  Y  
23,10 | 288,41 | 681,88
 Tempo |  X  |  Y  
23,20 | 289,66 | 673,46
 Tempo |  X  |  Y  
23,30 | 290,91 | 664,95
 Tempo |  X  |  Y  
23,40 | 292,16 | 656,33
 Tempo |  X  |  Y  
23,50 | 293,41 | 647,62
 Tempo |  X  |  Y  
23,60 | 294,65 | 638,82
 Tempo |  X  |  Y  
23,70 | 295,90 | 629,91
 Tempo |  X  |  Y  
23,80 | 297,15 | 620,91
 Tempo |  X  |  Y  
23,90 | 298,40 | 611,80
 Tempo |  X  |  Y  
24,00 | 299,65 | 602,60
